代號,名稱,預估月,yoy,mom,預估營收（百萬）,TEJ產業
8163,達方,* 2023/03,-0.213,0.179,2165.0,M2325 電腦及週邊
6605,帝寶,* 2023/02,-0.214,-0.214,1207.0,M2200 汽車工業
2606,裕民,* 2023/03,-0.216,0.085,954.0,M2600 航運業
2049,上銀,* 2023/03,-0.216,0.059,2125.0,M1500 電機機械
3714,富采,* 2023/03,-0.217,0.58,2314.0,M2326 光電業
3454,晶睿,* 2023/02,-0.219,-0.219,677.0,M2326 光電業
6005,群益證,* 2023/02,-0.225,-0.225,707.0,M2800 金融業
3374,精材,* 2023/03,-0.227,0.248,514.0,M2324 半導體
1303,南亞,* 2023/03,-0.227,0.309,28602.0,M1300 塑膠工業
6147,頎邦,* 2023/03,-0.23,0.31,1839.0,M2324 半導體
8039,台虹,* 2023/03,-0.236,0.447,624.0,M2328 電子零組件
2353,宏碁,* 2023/03,-0.239,0.571,23053.0,M2325 電腦及週邊
2331,精英,* 2023/03,-0.242,0.633,2114.0,M2325 電腦及週邊
2887,台新金,* 2023/02,-0.242,-0.242,4790.0,M2800 金融業
2379,瑞昱,* 2023/03,-0.244,0.274,7895.0,M2324 半導體
4401,東隆興,* 2023/03,-0.25,0.752,344.0,M1400 紡織纖維
4938,和碩,* 2023/03,-0.251,-0.062,86518.0,M2325 電腦及週邊
2337,旺宏,* 2023/03,-0.253,0.538,3181.0,M2324 半導體
6278,台表科,* 2023/03,-0.255,0.524,4482.0,M2326 光電業
2455,全新,* 2023/03,-0.256,1.168,213.0,M2327 通信網路業
2515,中工,* 2023/02,-0.264,-0.264,1132.0,M2500 建材營造
8936,國統,* 2023/03,-0.266,0.505,244.0,M9900 其他
2441,超豐,* 2023/03,-0.268,0.228,1229.0,M2324 半導體
5009,榮剛,* 2023/02,-0.269,-0.269,775.0,M2000 鋼鐵工業
3673,TPK-KY,* 2023/03,-0.269,0.438,7715.0,M2326 光電業
3006,晶豪科,* 2023/03,-0.276,0.481,1318.0,M2324 半導體
6269,台郡,* 2023/03,-0.279,-0.022,2453.0,M2328 電子零組件
3041,揚智,* 2023/03,-0.282,0.154,191.0,M2324 半導體
4958,臻鼎-KY,* 2023/03,-0.285,-0.028,9666.0,M2328 電子零組件
3060,銘異,* 2023/03,-0.291,0.483,267.0,M2325 電腦及週邊
5457,宣德,* 2023/03,-0.293,0.096,1177.0,M2328 電子零組件
8081,致新,* 2023/03,-0.299,0.238,657.0,M2324 半導體
3105,穩懋,* 2023/03,-0.3,0.508,1293.0,M2324 半導體
2454,聯發科,* 2023/03,-0.309,0.35,40903.0,M2324 半導體
2485,兆赫,* 2023/02,-0.311,-0.311,346.0,M2327 通信網路業
5471,松翰,* 2023/03,-0.316,0.503,264.0,M2324 半導體
6285,啟碁,* 2023/02,-0.317,-0.317,5641.0,M2327 通信網路業
2062,橋椿,* 2023/03,-0.328,0.131,613.0,M9900 其他
2881,富邦金,* 2023/03,-0.329,1.84,21110.0,M2800 金融業
2882,國泰金,* 2023/03,-0.332,1.55,33854.0,M2800 金融業
2401,凌陽,* 2023/03,-0.338,0.271,504.0,M2324 半導體
2615,萬海,* 2023/03,-0.343,1.185,15975.0,M2600 航運業
2603,長榮,* 2023/03,-0.344,1.06,38476.0,M2600 航運業
1785,光洋科,* 2023/03,-0.35,0.373,2043.0,M2331 其他電子業
1532,勤美,* 2023/03,-0.375,0.184,1133.0,M1500 電機機械
3034,聯詠,* 2023/03,-0.377,0.017,7774.0,M2324 半導體
2548,華固,* 2023/03,-0.393,-0.214,617.0,M2500 建材營造
2408,南亞科,* 2023/03,-0.396,1.009,4071.0,M2324 半導體
2458,義隆,* 2023/03,-0.4,0.25,987.0,M2324 半導體
1909,榮成,* 2023/03,-0.403,-0.128,3246.0,M1900 造紙工業
2354,鴻準,* 2023/03,-0.421,-0.201,5077.0,M2331 其他電子業
6547,高端疫苗,* 2023/03,-0.499,inf,44.0,M1722 生技醫療
2545,皇翔,* 2023/03,-0.516,1.015,420.0,M2500 建材營造
4123,晟德,* 2023/02,-0.625,-0.625,46.0,M1722 生技醫療
4162,智擎,* 2023/03,-0.706,0.936,39.0,M1722 生技醫療
2809,京城銀,* 2023/03,-2.356,-0.554,472.0,M2800 金融業
